amenorrhoea,amenorrhœa
amoeba,amœba
apnea,apnœa
coelacanth,cœlacanth
coeliac,cœliac
coeptis,cœptis
Confoederatio Helvetica,Confœderatio Helvetica
diarrhoea,diarrhœa
dyspnea,dyspnœa
ecology,œcology
economics,œconomics
economy,œconomy
ecumenism,œcumenism
esophagus,œsophagus
estrogen,œstrogen
estrus,œstrus
federal,fœderal
fetid,fœtid
fetor,fœtor
fetus,fœtus
gonorrhoea,gonorrhœa
homeomorphism,homœomorphism
homeopath,homœopath
homeostasis,homœostasis
homoeozoic,homœozoic
hors d'oeuvre,hors d'œuvre
logorrhoea,logorrhœa
maneuver,manœuvre
oedema,œdema
oeillade,œillade
oenology,œnology
oenomel,œnomel
oenothera,œnothera
oesophagus,œsophagus
oestrus,œstrus
Oethelwald,Œthelwald
oeuvre,œuvre
onomatopoeia,onomatopœia
penology,pœnology
phoenix,phœnix
pretorium,prœtorium
subpoena,subpœna
tragedy,tragœdy
zoogloea,zoöglœa
